names,lat,lon,geometry
Mahaveer Zephyr ,12.900891,77.6193205,POINT (77.6193205 12.900891)
Valmark Orchard Square ,12.870642,77.5860474,POINT (77.5860474 12.870642)
Purva Highland ,12.8539676,77.5446017,POINT (77.54460170000002 12.8539676)
Vasathi Avante ,13.0606229,77.6222783,POINT (77.62227829999999 13.0606229)
Brigade Lakefront - Amber Block ,12.9789932,77.7113528,POINT (77.7113528 12.9789932)
Vajram Elina ,13.0781,77.6373728,POINT (77.63737279999999 13.0781)
Gopalan Lake Front ,12.8377608,77.6764512,POINT (77.6764512 12.8377608)
Shriram Southern Crest ,12.9058075,77.5723024,POINT (77.5723024 12.9058075)
Bavisha Urban Homes ,12.8594994,77.765354,POINT (77.765354 12.8594994)
Mantri Serenity ,12.8869436,77.5513736,POINT (77.55137359999999 12.8869436)
Salarpuria Sattva Misty Charm ,12.8638771,77.5432976,POINT (77.5432976 12.8638771)
Hara Vijaya Heights ,12.8634786,77.526696,POINT (77.526696 12.8634786)
ELV KingsLand ,12.9694606,77.7414335,POINT (77.7414335 12.9694606)
MBR Shangri La ,12.9218502,77.4926026,POINT (77.4926026 12.9218502)
Keya Homes The Green Terraces ,12.8220091,77.6563314,POINT (77.6563314 12.8220091)
SNN Clermont ,13.0412129,77.6093979,POINT (77.60939789999999 13.0412129)
Mahaveer Turquoise ,12.8672756,77.6441932,POINT (77.64419319999999 12.8672756)
TATA The Promont ,12.9208104,77.5367614,POINT (77.5367614 12.9208104)
NVT Life Square ,12.9754639,77.7639204,POINT (77.7639204 12.9754639)
Ozone WF48 ,12.9954655,77.6948322,POINT (77.69483219999999 12.9954655)
Sobha Royal Pavilion ,12.8962858,77.702125,POINT (77.702125 12.8962858)
Saiven Siesta ,12.8888172,77.7683326,POINT (77.76833259999999 12.8888172)
Salarpuria Sattva Northland ,13.082285,77.654127,POINT (77.654127 13.082285)
Legacy Eldora ,13.102545,77.623708,POINT (77.62370799999999 13.102545)
Pride Enchanta Phase II ,12.9478889,77.5353712,POINT (77.5353712 12.9478889)
Vriksha by Provident ,12.9960104,77.4848412,POINT (77.48484119999999 12.9960104)
Mahaveer Cygnet ,13.1024979,77.617163,POINT (77.61716299999999 13.1024979)
Mahaveer Palatium ,12.7579595,77.6143312,POINT (77.6143312 12.7579595)
Sashank Aavaas ,13.1041866,77.5473949,POINT (77.5473949 13.1041866)
Brigade Woods ,12.9783211,77.7338514,POINT (77.73385139999999 12.9783211)
Vaishnavi Oasis ,12.8735596,77.5638325,POINT (77.56383249999999 12.8735596)
Bren Woods ,12.8617047,77.6832261,POINT (77.6832261 12.8617047)
KVG Grandeur ,13.0274574,77.6900306,POINT (77.6900306 13.0274574)
